customer_id,recency,frequency,monetary,total_orders,total_items,gross_revenue,average_order_value,average_quantity,unique_products,customer_lifetime_days,days_since_first_purchase,average_days_between_orders,max_days_between_orders,cancellation_count,cancellation_rate,cancelled_revenue,country,recent_spend_90d,historical_spend_prior,spend_trend,order_frequency_trend,recent_order_count_90d,recency_acceleration,spending_momentum,product_diversity_ratio,cancellation_revenue_ratio,purchase_frequency_rate,future_orders_90d,future_revenue_90d,churn_label,cluster,segment_name,churn_probability,predicted_future_value,revenue_at_risk
12346,234,12,77556.46,12,74285,77556.46,6463.04,6190.42,27,400,634,36.37,203.84,5,0.2941,77608.2,United Kingdom,0.0,77556.46,0.0,0.0,0,6.2619,0.0,0.0004,1.0007,0.0299,0,0.0,1,3,High-Value At Risk,0.7086595003507768,2785.018124965851,1973.63
12347,38,6,3402.3900000000003,6,2099,3402.3900000000003,567.07,349.83,107,274,313,54.95,70.84,0,0.0,0.0,Iceland,584.91,2817.48,0.2075,0.1429,1,0.6791,0.2075,0.051,0.0,0.0218,2,1519.14,0,0,Low-Value / Dormant,0.17855339464966574,734.3061135309607,131.11
12348,157,4,1709.4,4,2497,1709.4,427.35,624.25,25,189,347,63.28,80.17,0,0.0,0.0,Finland,0.0,1709.4,0.0,0.0,0,2.4426,0.0,0.01,0.0,0.0211,1,310.0,0,0,Low-Value / Dormant,0.5622022484920054,420.19645762044007,236.24
12349,316,3,2671.1400000000003,3,993,2671.1400000000003,890.38,331.0,90,181,498,90.9,162.93,1,0.25,24.15,Italy,0.0,2671.14,0.0,0.0,0,3.4386,0.0,0.0905,0.009,0.0165,1,1757.55,0,2,Active Casuals,0.5203052361500954,584.651934259583,304.2
12350,219,1,334.40000000000003,1,197,334.40000000000003,334.4,197.0,17,0,219,0.0,0.0,0,0.0,0.0,Norway,0.0,334.4,0.0,0.0,0,219.0,0.0,0.0859,0.0,1.0,0,0.0,1,0,Low-Value / Dormant,0.795555687987669,77.26019638161024,61.46
12351,284,1,300.93,1,261,300.93,300.93,261.0,21,0,284,0.0,0.0,0,0.0,0.0,Unspecified,0.0,300.93,0.0,0.0,0,284.0,0.0,0.0802,0.0,1.0,0,0.0,1,0,Low-Value / Dormant,0.8723678844620966,76.79209915466174,66.99
12352,171,7,1905.61,7,442,1905.61,272.23,63.14,38,130,301,21.71,79.1,3,0.3,960.63,Norway,0.0,1905.61,0.0,0.0,0,7.5307,0.0,0.0858,0.5038,0.0534,3,944.23,0,2,Active Casuals,0.5931392112939389,378.6074520330625,224.57
12353,113,2,406.76,2,212,406.76,203.38,106.0,23,204,317,204.21,204.21,0,0.0,0.0,Bahrain,0.0,406.76,0.0,0.0,0,0.5507,0.0,0.108,0.0,0.0098,0,0.0,1,0,Low-Value / Dormant,0.6171465454842836,112.990214928731,69.73
12354,141,1,1079.3999999999999,1,530,1079.3999999999999,1079.4,530.0,58,0,141,0.0,0.0,0,0.0,0.0,Spain,0.0,1079.4,0.0,0.0,0,141.0,0.0,0.1092,0.0,1.0,0,0.0,1,0,Low-Value / Dormant,0.6454222555985877,292.07508522644105,188.51
12355,123,2,947.6099999999999,2,543,947.6099999999999,473.8,271.5,35,353,476,353.08,353.08,0,0.0,0.0,Bahrain,0.0,947.61,0.0,0.0,0,0.3474,0.0,0.0643,0.0,0.0056,0,0.0,1,0,Low-Value / Dormant,0.8008635225524396,197.8087849091813,158.42
12356,154,5,6313.380000000001,5,3411,6313.380000000001,1262.68,682.2,104,179,333,44.78,80.11,0,0.0,0.0,Portugal,0.0,6313.38,0.0,0.0,0,3.3639,0.0,0.0305,0.0,0.0278,1,58.35,0,0,Low-Value / Dormant,0.32698552747484544,1448.4228233728886,473.61
12357,297,2,12079.990000000002,2,3879,12079.990000000002,6040.0,1939.5,165,0,297,0.18,0.18,0,0.0,0.0,Switzerland,0.0,12079.99,0.0,0.0,0,250.9859,0.0,0.0425,0.0,2.0,1,6207.67,0,0,Low-Value / Dormant,0.5336194704565566,4266.953961970647,2276.93
12358,59,4,3203.87,4,931,3203.87,800.97,232.75,56,581,640,193.7,224.96,0,0.0,0.0,Austria,484.86,2719.01,0.1783,0.2,1,0.303,0.1783,0.0601,0.0,0.0069,1,683.2,0,0,Low-Value / Dormant,0.4012258279430827,571.9613054732317,229.49
12359,98,9,6059.09,9,2095,6059.09,673.23,232.78,230,544,643,68.12,115.9,3,0.25,129.8,Cyprus,0.0,6059.09,0.0,0.0,0,1.4178,0.0,0.1097,0.0214,0.0165,1,2814.3,0,3,High-Value At Risk,0.17725106774562868,1416.018756301818,250.99
12360,21,7,3209.11,7,1968,3209.11,458.44,281.14,123,543,564,90.5,178.94,1,0.125,40.0,Austria,534.7,2674.41,0.1999,0.125,1,0.2295,0.1999,0.0625,0.0125,0.0129,1,1043.78,0,0,Low-Value / Dormant,0.28601672482447577,617.9043933866612,176.73
12361,196,4,511.24999999999994,4,235,511.24999999999994,127.81,58.75,18,394,591,131.66,174.94,0,0.0,0.0,Belgium,0.0,511.25,0.0,0.0,0,1.4775,0.0,0.0763,0.0,0.0101,0,0.0,1,0,Low-Value / Dormant,0.7105743825514363,108.379818118984,77.01
