stock_code,status,sample_size,distinct_prices,avg_price,min_price,max_price,avg_quantity,total_quantity,elasticity,se,t_stat,p_value,ci_lower,ci_upper,r_squared,category,interpretation,is_statistically_significant,methodology,description
20727,Success,75,5,1.66,1.48,1.81,23.9,1790,3.408,1.384,2.46,0.0163,0.648,6.168,0.083,Positive Association (Confounded/Premium),A positive association (+3.408) between price and volume was observed in historical records. This typically indicates premium mix shifts or bundled seasonal orders rather than a causal demand law.,True,Ordinary Least Squares Log-Log regression with Month and Day-of-Week controls,Lunch Bag Black Skull.
20725,Success,65,5,1.63,1.48,1.81,24.2,1575,1.072,1.556,0.69,0.4933,-2.038,4.183,0.041,Inconclusive (Low Statistical Significance),"Estimated elasticity is 1.072 (95% CI: [-2.038, 4.183]), but p-value (0.493) exceeds 0.10. Price-demand relationship is not statistically distinguishable from zero.",False,Ordinary Least Squares Log-Log regression with Month and Day-of-Week controls,Lunch Bag Red Retrospot
22699,Success,67,5,2.95,2.66,3.25,21.7,1457,-1.533,1.873,-0.82,0.4163,-5.277,2.211,0.023,Inconclusive (Low Statistical Significance),"Estimated elasticity is -1.533 (95% CI: [-5.277, 2.211]), but p-value (0.416) exceeds 0.10. Price-demand relationship is not statistically distinguishable from zero.",False,Ordinary Least Squares Log-Log regression with Month and Day-of-Week controls,Roses Regency Teacup And Saucer
22197,Success,69,5,0.86,0.77,0.94,20.4,1409,0.749,1.941,0.39,0.7008,-3.127,4.625,0.024,Inconclusive (Low Statistical Significance),"Estimated elasticity is 0.749 (95% CI: [-3.127, 4.625]), but p-value (0.701) exceeds 0.10. Price-demand relationship is not statistically distinguishable from zero.",False,Ordinary Least Squares Log-Log regression with Month and Day-of-Week controls,Popcorn Holder
84077,Success,73,5,0.29,0.26,0.32,19.1,1393,-1.617,1.639,-0.99,0.3273,-4.885,1.652,0.037,Inconclusive (Low Statistical Significance),"Estimated elasticity is -1.617 (95% CI: [-4.885, 1.652]), but p-value (0.327) exceeds 0.10. Price-demand relationship is not statistically distinguishable from zero.",False,Ordinary Least Squares Log-Log regression with Month and Day-of-Week controls,World War 2 Gliders Asstd Designs
21034,Success,60,5,0.95,0.85,1.04,23.2,1395,1.37,1.489,0.92,0.3614,-1.613,4.353,0.016,Inconclusive (Low Statistical Significance),"Estimated elasticity is 1.37 (95% CI: [-1.613, 4.353]), but p-value (0.361) exceeds 0.10. Price-demand relationship is not statistically distinguishable from zero.",False,Ordinary Least Squares Log-Log regression with Month and Day-of-Week controls,Rex Cash+Carry Jumbo Shopper
22961,Success,64,5,1.45,1.3,1.59,21.6,1382,0.04,1.789,0.02,0.9822,-3.539,3.619,0.017,Inconclusive (Low Statistical Significance),"Estimated elasticity is 0.04 (95% CI: [-3.539, 3.619]), but p-value (0.982) exceeds 0.10. Price-demand relationship is not statistically distinguishable from zero.",False,Ordinary Least Squares Log-Log regression with Month and Day-of-Week controls,Jam Making Set Printed
22386,Success,65,5,2.09,1.87,2.29,21.1,1369,0.424,1.595,0.27,0.7914,-2.766,3.614,0.039,Inconclusive (Low Statistical Significance),"Estimated elasticity is 0.424 (95% CI: [-2.766, 3.614]), but p-value (0.791) exceeds 0.10. Price-demand relationship is not statistically distinguishable from zero.",False,Ordinary Least Squares Log-Log regression with Month and Day-of-Week controls,Jumbo Bag Pink Polkadot
22411,Success,59,5,2.09,1.87,2.29,23.0,1358,-2.308,1.362,-1.7,0.0957,-5.037,0.42,0.085,Elastic (High Price Sensitivity),"A 1% increase in price is associated with approximately a 2.31% decrease in quantity sold, after controlling for seasonality and day-of-week effects.",True,Ordinary Least Squares Log-Log regression with Month and Day-of-Week controls,Jumbo Shopper Vintage Red Paisley
22138,Success,64,5,4.97,4.46,5.45,20.9,1335,-0.294,1.342,-0.22,0.8274,-2.978,2.39,0.052,Inconclusive (Low Statistical Significance),"Estimated elasticity is -0.294 (95% CI: [-2.978, 2.39]), but p-value (0.827) exceeds 0.10. Price-demand relationship is not statistically distinguishable from zero.",False,Ordinary Least Squares Log-Log regression with Month and Day-of-Week controls,Baking Set 9 Piece Retrospot
22722,Success,56,5,3.93,3.56,4.35,23.0,1289,-0.228,2.208,-0.1,0.918,-4.659,4.202,0.024,Inconclusive (Low Statistical Significance),"Estimated elasticity is -0.228 (95% CI: [-4.659, 4.202]), but p-value (0.918) exceeds 0.10. Price-demand relationship is not statistically distinguishable from zero.",False,Ordinary Least Squares Log-Log regression with Month and Day-of-Week controls,Set Of 6 Spice Tins Pantry Design
21931,Success,64,5,2.08,1.87,2.29,20.0,1277,3.186,2.051,1.55,0.1256,-0.917,7.289,0.04,Inconclusive (Low Statistical Significance),"Estimated elasticity is 3.186 (95% CI: [-0.917, 7.289]), but p-value (0.126) exceeds 0.10. Price-demand relationship is not statistically distinguishable from zero.",False,Ordinary Least Squares Log-Log regression with Month and Day-of-Week controls,Jumbo Storage Bag Suki
22698,Success,65,5,2.92,2.66,3.25,19.7,1278,-1.157,1.232,-0.94,0.3513,-3.621,1.306,0.196,Inconclusive (Low Statistical Significance),"Estimated elasticity is -1.157 (95% CI: [-3.621, 1.306]), but p-value (0.351) exceeds 0.10. Price-demand relationship is not statistically distinguishable from zero.",False,Ordinary Least Squares Log-Log regression with Month and Day-of-Week controls,Pink Regency Teacup And Saucer
21754,Success,53,5,6.07,5.36,6.55,23.9,1268,-2.039,1.678,-1.22,0.2301,-5.411,1.333,0.032,Inconclusive (Low Statistical Significance),"Estimated elasticity is -2.039 (95% CI: [-5.411, 1.333]), but p-value (0.230) exceeds 0.10. Price-demand relationship is not statistically distinguishable from zero.",False,Ordinary Least Squares Log-Log regression with Month and Day-of-Week controls,Home Building Block Word
22178,Success,61,5,1.24,1.12,1.38,20.6,1254,1.581,1.899,0.83,0.4088,-2.223,5.384,0.033,Inconclusive (Low Statistical Significance),"Estimated elasticity is 1.581 (95% CI: [-2.223, 5.384]), but p-value (0.409) exceeds 0.10. Price-demand relationship is not statistically distinguishable from zero.",False,Ordinary Least Squares Log-Log regression with Month and Day-of-Week controls,Victorian Glass Hanging T-Light
21733,Success,62,5,2.99,2.66,3.25,19.9,1235,-2.307,1.66,-1.39,0.17,-5.631,1.016,0.033,Inconclusive (Low Statistical Significance),"Estimated elasticity is -2.307 (95% CI: [-5.631, 1.016]), but p-value (0.170) exceeds 0.10. Price-demand relationship is not statistically distinguishable from zero.",False,Ordinary Least Squares Log-Log regression with Month and Day-of-Week controls,Red Hanging Heart T-Light Holder
22383,Success,56,5,1.61,1.48,1.81,22.1,1237,-0.195,1.806,-0.11,0.9145,-3.819,3.429,0.024,Inconclusive (Low Statistical Significance),"Estimated elasticity is -0.195 (95% CI: [-3.819, 3.429]), but p-value (0.915) exceeds 0.10. Price-demand relationship is not statistically distinguishable from zero.",False,Ordinary Least Squares Log-Log regression with Month and Day-of-Week controls,Lunch Bag Suki Design
82482,Success,65,5,2.56,2.29,2.81,18.7,1215,-1.483,2.06,-0.72,0.4743,-5.603,2.637,0.018,Inconclusive (Low Statistical Significance),"Estimated elasticity is -1.483 (95% CI: [-5.603, 2.637]), but p-value (0.474) exceeds 0.10. Price-demand relationship is not statistically distinguishable from zero.",False,Ordinary Least Squares Log-Log regression with Month and Day-of-Week controls,Wooden Picture Frame White Finish
85123A,Success,58,5,2.55,2.29,2.81,20.9,1210,-2.096,1.676,-1.25,0.2163,-5.456,1.263,0.063,Inconclusive (Low Statistical Significance),"Estimated elasticity is -2.096 (95% CI: [-5.456, 1.263]), but p-value (0.216) exceeds 0.10. Price-demand relationship is not statistically distinguishable from zero.",False,Ordinary Least Squares Log-Log regression with Month and Day-of-Week controls,White Hanging Heart T-Light Holder
22720,Success,59,5,4.96,4.46,5.45,20.0,1181,4.136,1.614,2.56,0.0132,0.901,7.37,0.12,Positive Association (Confounded/Premium),A positive association (+4.136) between price and volume was observed in historical records. This typically indicates premium mix shifts or bundled seasonal orders rather than a causal demand law.,True,Ordinary Least Squares Log-Log regression with Month and Day-of-Week controls,Set Of 3 Cake Tins Pantry Design
21212,Success,49,5,0.56,0.5,0.61,23.9,1173,-0.374,1.55,-0.24,0.8103,-3.495,2.747,0.084,Inconclusive (Low Statistical Significance),"Estimated elasticity is -0.374 (95% CI: [-3.495, 2.747]), but p-value (0.810) exceeds 0.10. Price-demand relationship is not statistically distinguishable from zero.",False,Ordinary Least Squares Log-Log regression with Month and Day-of-Week controls,Pack Of 72 Retrospot Cake Cases
