stock_code,description,unit_price,expected_30d_demand,lead_time_days,safety_stock,reorder_point,current_stock,suggested_order,status,reason,stock_value_scenario,order_cost_scenario,has_expiry_risk
20727,Lunch Bag Black Skull.,1.66,179.1,7,480,522,170,490,Replenishment Needed,Current stock (170) is at or below Reorder Point (522).,282.2,813.4,False
20725,Lunch Bag Red Retrospot,1.63,636.8,7,381,530,605,413,Healthy,Stock level (605) covers lead time and 30-day forecast.,986.15,673.19,False
22699,Roses Regency Teacup And Saucer,2.95,217.2,7,456,507,206,468,Replenishment Needed,Current stock (206) is at or below Reorder Point (507).,607.7,1380.6,False
22197,Popcorn Holder,0.86,194.2,7,488,534,184,499,Replenishment Needed,Current stock (184) is at or below Reorder Point (534).,158.24,429.14,False
84077,World War 2 Gliders Asstd Designs,0.29,377.7,7,420,509,359,439,Replenishment Needed,Current stock (359) is at or below Reorder Point (509).,104.11,127.31,False
21034,Rex Cash+Carry Jumbo Shopper,0.95,316.5,7,409,483,301,425,Replenishment Needed,Current stock (301) is at or below Reorder Point (483).,285.95,403.75,False
22961,Jam Making Set Printed,1.45,160.1,7,408,446,152,417,Replenishment Needed,Current stock (152) is at or below Reorder Point (446).,220.4,604.65,False
22386,Jumbo Bag Pink Polkadot,2.09,195.5,7,475,521,186,485,Replenishment Needed,Current stock (186) is at or below Reorder Point (521).,388.74,1013.65,False
22411,Jumbo Shopper Vintage Red Paisley,2.09,110.0,7,239,265,104,245,Replenishment Needed,Current stock (104) is at or below Reorder Point (265).,217.36,512.05,False
22138,Baking Set 9 Piece Retrospot,4.97,139.3,7,219,252,132,227,Replenishment Needed,Current stock (132) is at or below Reorder Point (252).,656.04,1128.19,False
22722,Set Of 6 Spice Tins Pantry Design,3.93,123.0,7,508,537,117,514,Replenishment Needed,Current stock (117) is at or below Reorder Point (537).,459.81,2020.02,False
21931,Jumbo Storage Bag Suki,2.08,194.5,7,484,530,185,494,Replenishment Needed,Current stock (185) is at or below Reorder Point (530).,384.8,1027.52,False
22698,Pink Regency Teacup And Saucer,2.92,178.6,7,249,291,170,258,Replenishment Needed,Current stock (170) is at or below Reorder Point (291).,496.4,753.36,False
21754,Home Building Block Word,6.07,249.5,7,486,545,237,499,Replenishment Needed,Current stock (237) is at or below Reorder Point (545).,1438.59,3028.93,False
22178,Victorian Glass Hanging T-Light,1.24,120.0,7,367,395,114,373,Replenishment Needed,Current stock (114) is at or below Reorder Point (395).,141.36,462.52,False
21733,Red Hanging Heart T-Light Holder,2.99,277.6,7,464,529,264,478,Replenishment Needed,Current stock (264) is at or below Reorder Point (529).,789.36,1429.22,False
22383,Lunch Bag Suki Design,1.61,160.4,7,340,378,152,349,Replenishment Needed,Current stock (152) is at or below Reorder Point (378).,244.72,561.89,False
82482,Wooden Picture Frame White Finish,2.56,152.4,7,301,337,145,309,Replenishment Needed,Current stock (145) is at or below Reorder Point (337).,371.2,791.04,False
85123A,White Hanging Heart T-Light Holder,2.55,301.2,7,473,544,45,730,Replenishment Needed,Current stock (45) is at or below Reorder Point (544).,114.75,1861.5,False
22720,Set Of 3 Cake Tins Pantry Design,4.96,114.1,7,377,404,108,384,Replenishment Needed,Current stock (108) is at or below Reorder Point (404).,535.68,1904.64,False
21212,Pack Of 72 Retrospot Cake Cases,0.56,308.6,7,394,467,293,410,Replenishment Needed,Current stock (293) is at or below Reorder Point (467).,164.08,229.6,False
47566,Party Bunting,5.03,370.8,7,372,459,352,391,Replenishment Needed,Current stock (352) is at or below Reorder Point (459).,1770.56,1966.73,False
22960,Jam Making Set With Jars,4.27,352.7,7,449,532,335,467,Replenishment Needed,Current stock (335) is at or below Reorder Point (532).,1430.45,1994.09,False
84879,Assorted Colour Bird Ornament,1.68,282.6,7,399,465,841,0,Healthy,Stock level (841) covers lead time and 30-day forecast.,1412.88,0.0,False
85099B,Jumbo Bag Red Retrospot,2.06,118.2,7,381,409,112,388,Replenishment Needed,Current stock (112) is at or below Reorder Point (409).,230.72,799.28,False
22423,Regency Cakestand 3 Tier,12.97,201.6,7,447,495,192,457,Replenishment Needed,Current stock (192) is at or below Reorder Point (495).,2490.24,5927.29,False
22666,Recipe Box Pantry Design,2.95,221.9,7,460,512,211,471,Replenishment Needed,Current stock (211) is at or below Reorder Point (512).,622.45,1389.45,False
22697,Green Regency Teacup And Saucer,2.95,232.5,7,322,377,221,334,Replenishment Needed,Current stock (221) is at or below Reorder Point (377).,651.95,985.3,False
20728,Lunch Bag Cars Blue,1.66,100.8,7,326,350,96,331,Replenishment Needed,Current stock (96) is at or below Reorder Point (350).,159.36,549.46,False
22086,Paper Chain Kit 50'S Christmas,2.96,177.6,7,284,326,169,293,Replenishment Needed,Current stock (169) is at or below Reorder Point (326).,500.24,867.28,False
