stock_code,description,unit_price,recent_30d_demand,expected_30d_demand,lower_30d_estimate,upper_30d_estimate,trend_pct,trend_direction,status,recommended_action,confidence_interval_label,current_stock
20727,Lunch Bag Black Skull.,1.66,300.0,450.0,323.1,576.9,100.0,Rising,Healthy,🟢 Demand Expanding — Monitor stock velocity and ensure supplier allocation,85% Empirical Error Bound (No Future Leakage),1793.0
20725,Lunch Bag Red Retrospot,1.63,224.0,215.3,101.2,329.4,-3.9,Stable,Healthy,🟢 Stable Demand — Regular stock maintenance recommended,85% Empirical Error Bound (No Future Leakage),1578.0
22699,Roses Regency Teacup And Saucer,2.95,225.0,220.0,96.6,343.4,-2.2,Stable,Healthy,🟢 Stable Demand — Regular stock maintenance recommended,85% Empirical Error Bound (No Future Leakage),
22197,Popcorn Holder,0.86,249.0,373.5,243.6,503.4,60.6,Rising,Healthy,🟢 Demand Expanding — Monitor stock velocity and ensure supplier allocation,85% Empirical Error Bound (No Future Leakage),1409.0
84077,World War 2 Gliders Asstd Designs,0.29,210.0,222.8,117.6,328.0,6.1,Stable,Healthy,🟢 Stable Demand — Regular stock maintenance recommended,85% Empirical Error Bound (No Future Leakage),
21034,Rex Cash+Carry Jumbo Shopper,0.95,221.0,331.5,216.5,446.5,74.0,Rising,Healthy,🟢 Demand Expanding — Monitor stock velocity and ensure supplier allocation,85% Empirical Error Bound (No Future Leakage),
22961,Jam Making Set Printed,1.45,201.0,192.4,75.6,309.2,-4.3,Stable,Healthy,🟢 Stable Demand — Regular stock maintenance recommended,85% Empirical Error Bound (No Future Leakage),1386.0
22386,Jumbo Bag Pink Polkadot,2.09,238.0,357.0,236.2,477.8,54.5,Rising,Healthy,🟢 Demand Expanding — Monitor stock velocity and ensure supplier allocation,85% Empirical Error Bound (No Future Leakage),
22411,Jumbo Shopper Vintage Red Paisley,2.09,63.0,31.5,0.0,81.2,-72.2,Falling,Monitor,🟡 Demand Slowing — Review stock holding and consider promotional discount,85% Empirical Error Bound (No Future Leakage),
22138,Baking Set 9 Piece Retrospot,4.97,89.0,44.5,0.0,106.2,-58.0,Falling,Monitor,🟡 Demand Slowing — Review stock holding and consider promotional discount,85% Empirical Error Bound (No Future Leakage),1335.0
22722,Set Of 6 Spice Tins Pantry Design,3.93,290.0,435.0,302.5,567.5,215.2,Rising,Healthy,🟢 Demand Expanding — Monitor stock velocity and ensure supplier allocation,85% Empirical Error Bound (No Future Leakage),1289.0
21931,Jumbo Storage Bag Suki,2.08,219.0,328.5,206.8,450.2,56.4,Rising,Healthy,🟢 Demand Expanding — Monitor stock velocity and ensure supplier allocation,85% Empirical Error Bound (No Future Leakage),
22698,Pink Regency Teacup And Saucer,2.92,118.0,131.3,61.6,201.0,11.3,Stable,Healthy,🟢 Stable Demand — Regular stock maintenance recommended,85% Empirical Error Bound (No Future Leakage),
