stock_code,description,unit_price,expected_30d_demand,lead_time_days,safety_stock,reorder_point,current_stock,suggested_order,status,reason,stock_value_scenario,order_cost_scenario,has_expiry_risk
20727,Lunch Bag Black Skull.,1.66,450.0,7,71,176,1793,0,Excess Stock,Expiring inventory alert: Halting replenishment to prevent expiry waste (1568 units at risk).,2976.38,0.0,True
20725,Lunch Bag Red Retrospot,1.63,215.3,7,63,114,1578,0,Excess Stock,Expiring inventory alert: Halting replenishment to prevent expiry waste (933 units at risk).,2572.14,0.0,True
22699,Roses Regency Teacup And Saucer,2.95,220.0,7,69,121,209,80,Healthy,Stock level (209) covers lead time and 30-day forecast.,616.55,236.0,False
22197,Popcorn Holder,0.86,373.5,7,72,160,1409,0,Excess Stock,Expiring inventory alert: Halting replenishment to prevent expiry waste (1385 units at risk).,1211.74,0.0,True
84077,World War 2 Gliders Asstd Designs,0.29,222.8,7,59,111,212,70,Healthy,Stock level (212) covers lead time and 30-day forecast.,61.48,20.3,False
21034,Rex Cash+Carry Jumbo Shopper,0.95,331.5,7,64,142,315,81,Healthy,Stock level (315) covers lead time and 30-day forecast.,299.25,76.95,False
22961,Jam Making Set Printed,1.45,192.4,7,65,110,1386,0,Excess Stock,Current stock (1386) significantly exceeds 60-day demand cycle.,2009.7,0.0,False
22386,Jumbo Bag Pink Polkadot,2.09,357.0,7,67,151,339,85,Healthy,Stock level (339) covers lead time and 30-day forecast.,708.51,177.65,False
22411,Jumbo Shopper Vintage Red Paisley,2.09,31.5,7,28,36,30,30,Replenishment Needed,Current stock (30) is at or below Reorder Point (36).,62.7,62.7,False
22138,Baking Set 9 Piece Retrospot,4.97,44.5,7,35,46,1335,0,Excess Stock,Expiring inventory alert: Halting replenishment to prevent expiry waste (1202 units at risk).,6634.95,0.0,True
22722,Set Of 6 Spice Tins Pantry Design,3.93,435.0,7,74,176,1289,0,Excess Stock,Expiring inventory alert: Halting replenishment to prevent expiry waste (637 units at risk).,5065.77,0.0,True
21931,Jumbo Storage Bag Suki,2.08,328.5,7,68,145,312,85,Healthy,Stock level (312) covers lead time and 30-day forecast.,648.96,176.8,False
22698,Pink Regency Teacup And Saucer,2.92,131.3,7,39,70,125,46,Healthy,Stock level (125) covers lead time and 30-day forecast.,365.0,134.32,False
21754,Home Building Block Word,6.07,412.5,7,74,171,392,95,Healthy,Stock level (392) covers lead time and 30-day forecast.,2379.44,576.65,False
22178,Victorian Glass Hanging T-Light,1.24,280.5,7,57,123,1259,0,Excess Stock,Current stock (1259) significantly exceeds 60-day demand cycle.,1561.16,0.0,False
21733,Red Hanging Heart T-Light Holder,2.99,197.6,7,68,115,1236,0,Excess Stock,Expiring inventory alert: Halting replenishment to prevent expiry waste (644 units at risk).,3695.64,0.0,True
22383,Lunch Bag Suki Design,1.61,253.6,7,51,111,1245,0,Excess Stock,Expiring inventory alert: Halting replenishment to prevent expiry waste (1119 units at risk).,2004.45,0.0,True
82482,Wooden Picture Frame White Finish,2.56,62.0,7,44,59,59,47,Replenishment Needed,Current stock (59) is at or below Reorder Point (59).,151.04,120.32,False
85123A,White Hanging Heart T-Light Holder,2.55,3776.9,7,3565,4447,1213,6129,Replenishment Needed,Current stock (1213) is at or below Reorder Point (4447).,3093.15,15628.95,False
22720,Set Of 3 Cake Tins Pantry Design,4.96,248.1,7,58,116,236,71,Healthy,Stock level (236) covers lead time and 30-day forecast.,1170.56,352.16,False
21212,Pack Of 72 Retrospot Cake Cases,0.56,391.5,7,61,153,1174,0,Excess Stock,Expiring inventory alert: Halting replenishment to prevent expiry waste (979 units at risk).,657.44,0.0,True
47566,Party Bunting,5.03,191.0,7,54,99,181,64,Healthy,Stock level (181) covers lead time and 30-day forecast.,910.43,321.92,False
22960,Jam Making Set With Jars,4.27,382.6,7,59,149,1172,0,Excess Stock,Expiring inventory alert: Halting replenishment to prevent expiry waste (981 units at risk).,5004.44,0.0,True
84879,Assorted Colour Bird Ornament,1.68,109.4,7,58,84,1180,0,Excess Stock,Expiring inventory alert: Halting replenishment to prevent expiry waste (852 units at risk).,1982.4,0.0,True
85099B,Jumbo Bag Red Retrospot,2.06,142.6,7,57,91,135,65,Healthy,Stock level (135) covers lead time and 30-day forecast.,278.1,133.9,False
22423,Regency Cakestand 3 Tier,12.97,420.0,7,66,164,399,87,Healthy,Stock level (399) covers lead time and 30-day forecast.,5175.03,1128.39,False
22666,Recipe Box Pantry Design,2.95,256.2,7,67,127,243,81,Healthy,Stock level (243) covers lead time and 30-day forecast.,716.85,238.95,False
22697,Green Regency Teacup And Saucer,2.95,107.1,7,46,71,102,52,Healthy,Stock level (102) covers lead time and 30-day forecast.,300.9,153.4,False
20728,Lunch Bag Cars Blue,1.66,85.0,7,43,63,1090,0,Excess Stock,Expiring inventory alert: Halting replenishment to prevent expiry waste (1048 units at risk).,1809.4,0.0,True
22086,Paper Chain Kit 50'S Christmas,2.96,72.7,7,37,54,69,41,Healthy,Stock level (69) covers lead time and 30-day forecast.,204.24,121.36,False
