stock_code,description,unit_price,recent_30d_demand,expected_30d_demand,lower_30d_estimate,upper_30d_estimate,daily_demand_std,trend_pct,trend_direction,status,recommended_action,confidence_interval_label,current_stock
20727,Lunch Bag Black Skull.,1.66,300.0,2139.6,1832.1,2447.1,38.99,56.9,Rising,Healthy,🟢 Demand Expanding — Monitor stock velocity and ensure supplier allocation,85% Empirical Error Bound (No Future Leakage),1793.0
20725,Lunch Bag Red Retrospot,1.63,224.0,2407.7,2023.1,2792.3,48.76,59.8,Rising,Healthy,🟢 Demand Expanding — Monitor stock velocity and ensure supplier allocation,85% Empirical Error Bound (No Future Leakage),1578.0
22699,Roses Regency Teacup And Saucer,2.95,225.0,217.2,65.5,368.9,19.23,-26.1,Falling,Monitor,🟡 Demand Slowing — Review stock holding and consider promotional discount,85% Empirical Error Bound (No Future Leakage),
22197,Popcorn Holder,0.86,249.0,2321.8,0.0,7694.2,681.15,3.7,Stable,Healthy,🟢 Stable Demand — Regular stock maintenance recommended,85% Empirical Error Bound (No Future Leakage),1409.0
84077,World War 2 Gliders Asstd Designs,0.29,210.0,5668.6,4391.7,6945.5,161.89,18.7,Rising,Healthy,🟢 Demand Expanding — Monitor stock velocity and ensure supplier allocation,85% Empirical Error Bound (No Future Leakage),
21034,Rex Cash+Carry Jumbo Shopper,0.95,221.0,316.5,180.5,452.5,17.25,-3.0,Stable,Healthy,🟢 Stable Demand — Regular stock maintenance recommended,85% Empirical Error Bound (No Future Leakage),
22961,Jam Making Set Printed,1.45,201.0,1495.7,249.1,2742.3,158.05,-26.8,Falling,Monitor,🟡 Demand Slowing — Review stock holding and consider promotional discount,85% Empirical Error Bound (No Future Leakage),1386.0
22386,Jumbo Bag Pink Polkadot,2.09,238.0,1483.8,659.9,2307.7,104.46,24.4,Rising,Healthy,🟢 Demand Expanding — Monitor stock velocity and ensure supplier allocation,85% Empirical Error Bound (No Future Leakage),
22411,Jumbo Shopper Vintage Red Paisley,2.09,63.0,749.4,284.6,1214.2,58.94,186.3,Rising,Healthy,🟢 Demand Expanding — Monitor stock velocity and ensure supplier allocation,85% Empirical Error Bound (No Future Leakage),
22138,Baking Set 9 Piece Retrospot,4.97,89.0,139.3,66.7,211.9,9.2,-64.9,Falling,Monitor,🟡 Demand Slowing — Review stock holding and consider promotional discount,85% Empirical Error Bound (No Future Leakage),1335.0
22722,Set Of 6 Spice Tins Pantry Design,3.93,290.0,123.0,0.0,292.1,21.44,30.3,Rising,Healthy,🟢 Demand Expanding — Monitor stock velocity and ensure supplier allocation,85% Empirical Error Bound (No Future Leakage),1289.0
21931,Jumbo Storage Bag Suki,2.08,219.0,1014.4,709.5,1319.3,38.66,60.8,Rising,Healthy,🟢 Demand Expanding — Monitor stock velocity and ensure supplier allocation,85% Empirical Error Bound (No Future Leakage),
22698,Pink Regency Teacup And Saucer,2.92,118.0,178.6,95.9,261.3,10.49,194.2,Rising,Healthy,🟢 Demand Expanding — Monitor stock velocity and ensure supplier allocation,85% Empirical Error Bound (No Future Leakage),
21754,Home Building Block Word,6.07,275.0,249.5,88.1,410.9,20.47,75.3,Rising,Healthy,🟢 Demand Expanding — Monitor stock velocity and ensure supplier allocation,85% Empirical Error Bound (No Future Leakage),
22178,Victorian Glass Hanging T-Light,1.24,187.0,983.0,194.2,1771.8,100.01,54.4,Rising,Healthy,🟢 Demand Expanding — Monitor stock velocity and ensure supplier allocation,85% Empirical Error Bound (No Future Leakage),1259.0
21733,Red Hanging Heart T-Light Holder,2.99,216.0,661.5,363.2,959.8,37.82,10.5,Rising,Healthy,🟢 Demand Expanding — Monitor stock velocity and ensure supplier allocation,85% Empirical Error Bound (No Future Leakage),1236.0
22383,Lunch Bag Suki Design,1.61,207.0,854.8,570.1,1139.5,36.09,64.6,Rising,Healthy,🟢 Demand Expanding — Monitor stock velocity and ensure supplier allocation,85% Empirical Error Bound (No Future Leakage),1245.0
82482,Wooden Picture Frame White Finish,2.56,103.0,734.4,467.6,1001.2,33.82,13.6,Rising,Healthy,🟢 Demand Expanding — Monitor stock velocity and ensure supplier allocation,85% Empirical Error Bound (No Future Leakage),
85123A,White Hanging Heart T-Light Holder,2.55,258.0,3776.9,2591.1,4962.7,150.34,50.6,Rising,Healthy,🟢 Demand Expanding — Monitor stock velocity and ensure supplier allocation,85% Empirical Error Bound (No Future Leakage),1213.0
22720,Set Of 3 Cake Tins Pantry Design,4.96,198.0,114.1,0.0,239.5,15.9,-29.2,Falling,Monitor,🟡 Demand Slowing — Review stock holding and consider promotional discount,85% Empirical Error Bound (No Future Leakage),
21212,Pack Of 72 Retrospot Cake Cases,0.56,261.0,3676.8,3072.8,4280.8,76.58,-7.3,Falling,Monitor,🟡 Demand Slowing — Review stock holding and consider promotional discount,85% Empirical Error Bound (No Future Leakage),1174.0
47566,Party Bunting,5.03,160.0,501.9,0.0,1120.9,78.49,53.2,Rising,Healthy,🟢 Demand Expanding — Monitor stock velocity and ensure supplier allocation,85% Empirical Error Bound (No Future Leakage),
22960,Jam Making Set With Jars,4.27,261.0,352.7,203.5,501.9,18.92,41.9,Rising,Healthy,🟢 Demand Expanding — Monitor stock velocity and ensure supplier allocation,85% Empirical Error Bound (No Future Leakage),1172.0
84879,Assorted Colour Bird Ornament,1.68,165.0,2455.3,1251.8,3658.8,152.59,126.0,Rising,Healthy,🟢 Demand Expanding — Monitor stock velocity and ensure supplier allocation,85% Empirical Error Bound (No Future Leakage),1180.0
85099B,Jumbo Bag Red Retrospot,2.06,185.0,4476.8,2373.4,6580.2,266.68,-1.2,Stable,Healthy,🟢 Stable Demand — Regular stock maintenance recommended,85% Empirical Error Bound (No Future Leakage),
