stock_code,description,unit_price,expected_30d_demand,lead_time_days,safety_stock,reorder_point,current_stock,suggested_order,status,reason,stock_value_scenario,order_cost_scenario,has_expiry_risk
20727,Lunch Bag Black Skull.,1.66,2139.6,7,170,670,1793,0,Healthy,Expiring inventory alert: Halting replenishment to prevent expiry waste (724 units at risk).,2976.38,0.0,True
20725,Lunch Bag Red Retrospot,1.63,2407.7,7,213,775,1578,1043,Healthy,Stock level (1578) covers lead time and 30-day forecast.,2572.14,1700.09,False
22699,Roses Regency Teacup And Saucer,2.95,217.2,7,84,135,206,96,Healthy,Stock level (206) covers lead time and 30-day forecast.,607.7,283.2,False
22197,Popcorn Holder,0.86,2321.8,7,2965,3507,1409,0,Replenishment Needed,Expiring inventory alert: Halting replenishment to prevent expiry waste (1255 units at risk).,1211.74,0.0,True
84077,World War 2 Gliders Asstd Designs,0.29,5668.6,7,705,2028,5385,989,Healthy,Stock level (5385) covers lead time and 30-day forecast.,1561.65,286.81,False
21034,Rex Cash+Carry Jumbo Shopper,0.95,316.5,7,76,150,301,92,Healthy,Stock level (301) covers lead time and 30-day forecast.,285.95,87.4,False
22961,Jam Making Set Printed,1.45,1495.7,7,688,1037,1386,798,Healthy,Stock level (1386) covers lead time and 30-day forecast.,2009.7,1157.1,False
22386,Jumbo Bag Pink Polkadot,2.09,1483.8,7,455,802,1410,529,Healthy,Stock level (1410) covers lead time and 30-day forecast.,2946.9,1105.61,False
22411,Jumbo Shopper Vintage Red Paisley,2.09,749.4,7,257,432,712,295,Healthy,Stock level (712) covers lead time and 30-day forecast.,1488.08,616.55,False
22138,Baking Set 9 Piece Retrospot,4.97,139.3,7,41,74,1335,0,Excess Stock,Expiring inventory alert: Halting replenishment to prevent expiry waste (918 units at risk).,6634.95,0.0,True
22722,Set Of 6 Spice Tins Pantry Design,3.93,123.0,7,94,123,1289,0,Excess Stock,Expiring inventory alert: Halting replenishment to prevent expiry waste (1105 units at risk).,5065.77,0.0,True
21931,Jumbo Storage Bag Suki,2.08,1014.4,7,169,406,964,220,Healthy,Stock level (964) covers lead time and 30-day forecast.,2005.12,457.6,False
22698,Pink Regency Teacup And Saucer,2.92,178.6,7,46,88,170,55,Healthy,Stock level (170) covers lead time and 30-day forecast.,496.4,160.6,False
21754,Home Building Block Word,6.07,249.5,7,90,149,237,103,Healthy,Stock level (237) covers lead time and 30-day forecast.,1438.59,625.21,False
22178,Victorian Glass Hanging T-Light,1.24,983.0,7,436,666,1259,160,Healthy,Stock level (1259) covers lead time and 30-day forecast.,1561.16,198.4,False
21733,Red Hanging Heart T-Light Holder,2.99,661.5,7,165,320,1236,0,Healthy,Stock level (1236) covers lead time and 30-day forecast.,3695.64,0.0,False
22383,Lunch Bag Suki Design,1.61,854.8,7,158,358,1245,0,Healthy,Expiring inventory alert: Halting replenishment to prevent expiry waste (818 units at risk).,2004.45,0.0,True
82482,Wooden Picture Frame White Finish,2.56,734.4,7,148,320,698,185,Healthy,Stock level (698) covers lead time and 30-day forecast.,1786.88,473.6,False
85123A,White Hanging Heart T-Light Holder,2.55,3776.9,7,655,1537,1213,3219,Replenishment Needed,Current stock (1213) is at or below Reorder Point (1537).,3093.15,8208.45,False
22720,Set Of 3 Cake Tins Pantry Design,4.96,114.1,7,70,97,108,77,Healthy,Stock level (108) covers lead time and 30-day forecast.,535.68,381.92,False
21212,Pack Of 72 Retrospot Cake Cases,0.56,3676.8,7,334,1192,1174,2837,Replenishment Needed,Current stock (1174) is at or below Reorder Point (1192).,657.44,1588.72,False
47566,Party Bunting,5.03,501.9,7,342,460,477,367,Healthy,Stock level (477) covers lead time and 30-day forecast.,2399.31,1846.01,False
22960,Jam Making Set With Jars,4.27,352.7,7,83,166,1172,0,Excess Stock,Expiring inventory alert: Halting replenishment to prevent expiry waste (996 units at risk).,5004.44,0.0,True
84879,Assorted Colour Bird Ornament,1.68,2455.3,7,665,1238,1180,1941,Replenishment Needed,Current stock (1180) is at or below Reorder Point (1238).,1982.4,3260.88,False
85099B,Jumbo Bag Red Retrospot,2.06,4476.8,7,1161,2206,4253,1385,Healthy,Stock level (4253) covers lead time and 30-day forecast.,8761.18,2853.1,False
22423,Regency Cakestand 3 Tier,12.97,1219.1,7,203,488,1158,265,Healthy,Stock level (1158) covers lead time and 30-day forecast.,15019.26,3437.05,False
22666,Recipe Box Pantry Design,2.95,221.9,7,85,137,211,96,Healthy,Stock level (211) covers lead time and 30-day forecast.,622.45,283.2,False
22697,Green Regency Teacup And Saucer,2.95,232.5,7,59,114,221,71,Healthy,Stock level (221) covers lead time and 30-day forecast.,651.95,209.45,False
20728,Lunch Bag Cars Blue,1.66,984.1,7,246,476,1090,0,Healthy,Expiring inventory alert: Halting replenishment to prevent expiry waste (598 units at risk).,1809.4,0.0,True
22086,Paper Chain Kit 50'S Christmas,2.96,313.7,7,481,555,298,497,Replenishment Needed,Current stock (298) is at or below Reorder Point (555).,882.08,1471.12,False
